"","VIN..1.10.","County","City","State","Postal.Code","Model.Year","Make","Model","Electric.Vehicle.Type","Clean.Alternative.Fuel.Vehicle..CAFV..Eligibility","Electric.Range","Base.MSRP","Legislative.District","DOL.Vehicle.ID","Vehicle.Location","Electric.Utility","X2020.Census.Tract"
"866","5YJSA1CG3D","Snohomish","Bothell","WA",98012,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,1,976846,"POINT (-122.206146 47.839957)","PUGET SOUND ENERGY INC",53061052107
"867","WBA8E1C52H","King","Auburn","WA",98092,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,31,321269182,"POINT (-122.1550193 47.2884536)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033031000
"868","5YJSA1H1XE","King","Seattle","WA",98199,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,36,189258765,"POINT (-122.394937 47.649547)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033005600
"869","5YJSA1DN7C","King","Renton","WA",98059,2012,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",265,59900,11,216533782,"POINT (-122.134502 47.492627)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033025602
"870","5YJSA1H16E","Kitsap","Bainbridge Island","WA",98110,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,23,205874924,"POINT (-122.5305071 47.6400595)","PUGET SOUND ENERGY INC",53035091001
"871","5YJSA1S1XE","King","Mercer Island","WA",98040,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,41,128991278,"POINT (-122.2283088 47.5737238)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024601
"872","5YJSA1CP0D","King","Yarrow Point","WA",98004,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,231239550,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024100
"873","KNDJP3AE8H","King","Sammamish","WA",98075,2017,"KIA","SOUL EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,32250,41,348303770,"POINT (-122.0181135 47.5880568)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032213
"874","5YJSA1CG1D","King","Bellevue","WA",98006,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,41,272114853,"POINT (-122.144149 47.560742)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024901
"875","KNDJX3AE7G","King","Auburn","WA",98001,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,47,194285563,"POINT (-122.2651204 47.3164638)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033029902
"876","2C4RC1L73K","King","Kent","WA",98031,2019,"CHRYSLER","PACIFICA","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible",32,39995,47,190080033,"POINT (-122.201564 47.402358)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033029403
"877","WBAJA9C53J","King","Maple Valley","WA",98038,2018,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",16,52650,5,154741114,"POINT (-122.0310296 47.3861675)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032011
"878","5YJSA1H16E","King","Seattle","WA",98116,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,34,133311209,"POINT (-122.395519 47.572137)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033009702
